"Follow me on Blogger","Seguici su Blogger"
"Starting data:","Data Inzio:"
"Starting hour(hh):","Ora d'Inizio (hh):"
"Starting minute (mm):","Minuti d'Inizio(mm):"
"Starting second(ss):","Secondi d'inizio(ss):"
"Relase date:"," Data di Lancio:"
"Relase hour (hh):"," Ora di Lancio(hh):"
"Relase minute (mm):","Minuti di Lancio (mm):"
"Relase second (ss):"," Secondi di lancio (ss):"
"Complete Percent:","Percentuale Completamento:"
"Admin email:","Mail Admin"
"Show Frontend Contact Form?","Form Contatto visibile?"
"Show Frontend Subscribe Form?","Form Iscrizione visibile?"
"Show Unsubscribe Link Inside Email Footer?","Link d'isiscrizione visibile nelle mail?"
"Server Email Restriction","Restrione Server Invio Mail"
"Number of email","Numero di Mail"
"per (in seconds)","per (in secondi)"
"Show Frontend Clock?","Conto alla rovescia visibile?"
"Show Frontend Progressbar?","Barra Progresso visibile?"
"Progressbar Phrase:","Frase Barra Progresso:"
"Footer Phrase:","Frase Pi&egrave; di pagina:"
"Password Change","Modifica Password"
"Old Password:","Vecchia Password"
"New Password:","Nuova Password"
"Repeat new Password:","Ripetere Nuova Password"
"Social Network Link","Link Social Network"
"Common Email Section"," Sezione Comune Mail"
"Footer:","Pi&egrave di pagina"
"Completed Site Mail","Mail Sito Completo"
"Do you want to alert your users once the site is finished?","Vuoi avvisare tutti i tuoi utenti quando il sito sar&agrave; pronto?"
"Cronjob String","Stringa Cronjob"
"If you can't automatically update the Cronjob trough the php function you can try set it by your own, this is the string with the information:","Se il server non &egrave; in grado di aggiornare i Cronjob automaticamente attarverso questa pagina, puoi provare a impostarla te stesso, questa &egrave; la stringa con le informazioni necessarie:"
"Update Final Message","Aggiorna Messagio Finale"
"Update","Aggiorna"
"Update Information","Aggiorna Informazioni"
"Update Password","Aggiorna Password"
"Set","Imposta"
"Save Changes","Salva Modifiche"
"Social Network Links Saved","Link Social Network Salvati"
"Final Mail Saved","Mail Finale Salvata"
"Password Updated","Password Aggiornata"
"The new passwords don't correspond","Le password non corrispondono"
"Wrong Password","Password Errata"
"Checking Phrase:","Frase di Controllo:"
"The Server is sending your Emails","Il Server ha iniziato ad inviare le mail"
"The settings have been saved","Le impostatzioni sono state salvate"
"This is the first time,the page will be reloaded","Questa &egrave; la prima volta,la pagina verr&agrave; aggiornata"
"Your email doesn't exist in our datatabase","La mail non &egrave; nei nostri datatabase"
"The information don't correspond,please contact us","Le informazioni non corrispondono, la preghiamo di contattarci"
"Administration","Amministrazione"
"Manage Scheduled Mail","Gestisci Mail Programmate"
"Send Later?","Inviare pi&ugrave; tardi?"
